epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,594.493,1.79623,1.13329,1.1076,0.77007,0.51957,0.57762,0.2843,1.58294,0.90369,1.04161,0.00999379,0.00333126,0.00999379,0.00333126,0.00999379,0.00333126,0.00999379,0.00333126
2,1111.43,1.69209,0.94791,1.02656,0.78234,0.52579,0.58459,0.29745,1.55554,0.83959,1.02612,0.0197959,0.00659862,0.0197959,0.00659862,0.0197959,0.00659862,0.0197959,0.00659862
3,1625.83,1.72417,0.99786,1.04274,0.77378,0.49623,0.55089,0.2723,1.63376,0.90067,1.06519,0.0293999,0.00979997,0.0293999,0.00979997,0.0293999,0.00979997,0.0293999,0.00979997
4,2100.03,1.73711,1.01065,1.05008,0.78162,0.52233,0.58685,0.30436,1.5436,0.84082,1.03539,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,2588.2,1.67801,0.94291,1.03423,0.81822,0.53895,0.60811,0.31288,1.53298,0.80534,1.03454,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,3066.97,1.63496,0.90463,1.02522,0.81579,0.548,0.61878,0.31959,1.50891,0.78122,1.02279,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,3565.26,1.63144,0.87807,1.0179,0.82979,0.56076,0.63337,0.33054,1.49234,0.75593,1.01318,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,4005.84,1.59755,0.85052,1.01077,0.81952,0.56818,0.63684,0.32604,1.48917,0.7493,1.0143,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,4427.77,1.57777,0.83432,1.00551,0.83369,0.58779,0.65535,0.34275,1.46891,0.73341,1.01261,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,4855.56,1.5748,0.81796,1.00293,0.8279,0.58263,0.65156,0.33956,1.45304,0.71401,1.00829,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,5279.35,1.55912,0.81259,1.00152,0.83784,0.5881,0.66017,0.34766,1.44771,0.70503,1.00713,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,5707.49,1.55372,0.80175,0.99233,0.84058,0.59124,0.6608,0.34778,1.45868,0.70407,1.0048,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,6124.23,1.53522,0.78314,0.99228,0.83966,0.6006,0.6704,0.35616,1.43214,0.68347,1.00138,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
